seed,alg,layer,err,n,overlap,time,rel_err,apprx
1,2l,1,0.8765095727597259,4,0.125,3.5558559894561768,0.35287920449800064,0.6471207955019993
1,2l,2,0.5186564002072724,4,0.24999439261863657,3.5558559894561768,0.20880896638320043,0.7911910336167995
1,2l,3,0.16812049768018067,4,0.49999292066679485,3.5558559894561768,0.0676846315487452,0.9323153684512548
1,2l,4,0.16810695596470682,4,0.5000112439932893,3.5558559894561768,0.06767917970893368,0.9323208202910663
1,2l,5,7.919260108568693e-6,4,0.9999903775999902,3.5558559894561768,3.1882620500375615e-6,0.99999681173795
1,2l,6,2.3380960687546803e-6,4,0.9999982749620838,3.5558559894561768,9.413080089750785e-7,0.999999058691991
1,2l,7,9.877999551655137e-7,4,0.9999988335742872,3.5558559894561768,3.976842617753365e-7,0.9999996023157383
1,2l,8,9.93534632343085e-9,4,0.9999999892571764,3.5558559894561768,3.999930195839964e-9,0.9999999960000698
1,2l,9,2.342858351767063e-9,4,0.9999999973763025,3.5558559894561768,9.432252848306208e-10,0.9999999990567747
1,2l,10,6.178106914944692e-10,4,0.9999999992675853,3.5558559894561768,2.4872808252225547e-10,0.999999999751272
1,2l,11,1.8559331849132832e-10,4,0.9999999997791019,3.5558559894561768,7.471911844973892e-11,0.9999999999252809
1,2l,12,2.2284396550276142e-12,4,0.9999999999967554,3.5558559894561768,8.971607808709102e-13,0.9999999999991028
1,2l,13,4.884981308350689e-15,4,0.9999999999999977,3.5558559894561768,1.966673692622561e-15,0.999999999999998
1,2l,14,1.0e-15,4,1.000000000000002,3.5558559894561768,4.025959504206511e-16,1.000000000000002
1,2l,15,1.0e-15,4,1.0000000000000042,3.5558559894561768,4.025959504206511e-16,1.0000000000000042
1,2l,16,1.0e-15,4,1.0000000000000078,3.5558559894561768,4.025959504206511e-16,1.0000000000000078
1,2l,17,1.0e-15,4,1.0000000000000118,3.5558559894561768,4.025959504206511e-16,1.0000000000000118
1,2l,18,1.0e-15,4,1.0000000000000095,3.5558559894561768,4.025959504206511e-16,1.0000000000000098
1,2l,19,1.0e-15,4,1.0000000000000127,3.5558559894561768,4.025959504206511e-16,1.0000000000000127
1,2l,20,1.0e-15,4,1.0000000000000158,3.5558559894561768,4.025959504206511e-16,1.000000000000016
1,2l,21,1.0e-15,4,1.00000000000002,3.5558559894561768,4.025959504206511e-16,1.0000000000000202
2,2l,1,0.7625887816525099,4,0.12499999999999997,3.3232150077819824,0.307322030573657,0.6926779694263431
2,2l,2,0.3499093288873545,4,0.24999354784174302,3.3232150077819824,0.14101288670586284,0.8589871132941371
2,2l,3,0.03299475172349542,4,0.4999734533413722,3.3232150077819824,0.013296830928938052,0.9867031690710619
2,2l,4,0.03298569283330677,4,0.499976288157353,3.3232150077819824,0.013293180211022314,0.9867068197889777
2,2l,5,0.03298069498926415,4,0.4999780008978166,3.3232150077819824,0.013291166088055096,0.9867088339119449
2,2l,6,0.008587064221198926,4,0.8698310395332676,3.3232150077819824,0.0034605728232804858,0.9965394271767195
2,2l,7,0.003616395646932169,4,0.9451752366513672,3.3232150077819824,0.0014574015253208388,0.9985425984746792
2,2l,8,1.9469501149060875e-6,4,0.999996901440404,3.3232150077819824,7.8461770895969e-7,0.9999992153822911
2,2l,9,2.15358696653567e-7,4,0.999999694943218,3.3232150077819824,8.678920218817069e-8,0.9999999132107978
2,2l,10,2.3875665888795083e-9,4,0.9999999965389499,3.3232150077819824,9.621854266387833e-10,0.9999999990378146
2,2l,11,4.4015768807526e-10,4,0.9999999993117963,3.3232150077819824,1.7738282771321177e-10,0.9999999998226172
2,2l,12,1.1058265414476409e-10,4,0.9999999998136233,3.3232150077819824,4.4564628585736384e-11,0.9999999999554354
2,2l,13,4.189359970041551e-11,4,0.9999999999167152,3.3232150077819824,1.6883052095353712e-11,0.999999999983117
2,2l,14,4.168398959336628e-11,4,0.999999999917125,3.3232150077819824,1.6798579565365085e-11,0.9999999999832014
